year_month;uf;product;unit;volume;created_at
'2013FEV;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;65754,274;2023-10-20 14:46:16.368086'
'2013MAR;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;74594,983;2023-10-20 14:46:16.368086'
'2013ABR;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;78911,329;2023-10-20 14:46:16.368086'
'2013MAI;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;82835,67;2023-10-20 14:46:16.368086'
'2013JUN;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;83487,671;2023-10-20 14:46:16.368086'
'2013JUL;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;86953,5;2023-10-20 14:46:16.368086'
'2013AGO;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;92614,39;2023-10-20 14:46:16.368086'
'2013SET;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;90431,974;2023-10-20 14:46:16.368086'
'2013OUT;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;98278,895;2023-10-20 14:46:16.368086'
'2013NOV;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;94202,785;2023-10-20 14:46:16.368086'
'2013DEZ;RIO DE JANEIRO;ÓLEO DIESEL S-10;m3;94732,917;2023-10-20 14:46:16.368086'
'2013JAN;SÃO PAULO;ÓLEO DIESEL S-10;m3;151757,57;2023-10-20 14:46:16.368086'
'2013FEV;SÃO PAULO;ÓLEO DIESEL S-10;m3;153253,221;2023-10-20 14:46:16.368086'
'2013MAR;SÃO PAULO;ÓLEO DIESEL S-10;m3;185821,01;2023-10-20 14:46:16.368086'
'2013ABR;SÃO PAULO;ÓLEO DIESEL S-10;m3;207449,331;2023-10-20 14:46:16.368086'
'2013MAI;SÃO PAULO;ÓLEO DIESEL S-10;m3;222614,972;2023-10-20 14:46:16.368086'
'2013JUN;SÃO PAULO;ÓLEO DIESEL S-10;m3;217736,003;2023-10-20 14:46:16.368086'
'2013JUL;SÃO PAULO;ÓLEO DIESEL S-10;m3;235476,41;2023-10-20 14:46:16.368086'
'2013AGO;SÃO PAULO;ÓLEO DIESEL S-10;m3;266501,288;2023-10-20 14:46:16.368086'
'2013SET;SÃO PAULO;ÓLEO DIESEL S-10;m3;262685,886;2023-10-20 14:46:16.368086'
'2013OUT;SÃO PAULO;ÓLEO DIESEL S-10;m3;285876,211;2023-10-20 14:46:16.368086'
'2013NOV;SÃO PAULO;ÓLEO DIESEL S-10;m3;271734,768;2023-10-20 14:46:16.368086'
'2013DEZ;SÃO PAULO;ÓLEO DIESEL S-10;m3;255230,24;2023-10-20 14:46:16.368086'
'2013JAN;PARANÁ;ÓLEO DIESEL S-10;m3;37690,948;2023-10-20 14:46:16.368086'
'2013FEV;PARANÁ;ÓLEO DIESEL S-10;m3;37994,903;2023-10-20 14:46:16.368086'
'2013MAR;PARANÁ;ÓLEO DIESEL S-10;m3;46695,023;2023-10-20 14:46:16.368086'
'2013ABR;PARANÁ;ÓLEO DIESEL S-10;m3;51823,455;2023-10-20 14:46:16.368086'
'2013MAI;PARANÁ;ÓLEO DIESEL S-10;m3;54918,57;2023-10-20 14:46:16.368086'
'2013JUN;PARANÁ;ÓLEO DIESEL S-10;m3;54564,884;2023-10-20 14:46:16.368086'
'2013JUL;PARANÁ;ÓLEO DIESEL S-10;m3;66333,999;2023-10-20 14:46:16.368086'
'2013AGO;PARANÁ;ÓLEO DIESEL S-10;m3;75553,272;2023-10-20 14:46:16.368086'
